id,Machine failure,Probability
136429,0,0.002608672894304102
136430,0,0.0014374589450003245
136431,0,0.00316538377504585
136432,0,0.0038000266156998927
136433,0,0.004083678707330281
136434,0,0.0031861915417229145
136435,0,0.004083358513485274
136436,0,0.005846514362550942
136437,0,0.0013216773947605331
136438,0,0.0014181771712083785
136439,0,0.002748044163760483
136440,0,0.002871208458725981
136441,0,0.001380368230832523
136442,0,0.002094288101314963
136443,0,0.0025652562113959373
136444,0,0.005909718694721807
136445,0,0.0012396054685419047
136446,1,0.9943524189671028
136447,0,0.0027375618135218414
136448,0,0.001820994145623309
136449,0,0.006833512244650605
136450,0,0.0044746418199946205
136451,0,0.02021856970146316
136452,0,0.02042872728965143
136453,0,0.004330781291585014
136454,0,0.0016224749696418196
136455,0,0.0018455597711122247
136456,0,0.007179934424534347
136457,0,0.006748172971739125
136458,0,0.005404466106712483
136459,0,0.003881653611892649
136460,0,0.0034915870989132756
136461,0,0.0015283481491458189
136462,0,0.01960278587436521
136463,0,0.0020377234776922776
136464,0,0.003074492971731367
136465,0,0.0018710171195496846
136466,0,0.002587749436328608
136467,0,0.0014621988946982958
136468,0,0.0030963834408078267
136469,0,0.0017187146870331267
136470,0,0.002811306968990051
136471,0,0.0098618662911818
136472,0,0.0073683167042222246
136473,0,0.002932775032370664
136474,0,0.002289119690487224
136475,0,0.004022161465344655
136476,0,0.0073232031796088125
136477,0,0.0027706886536969016
136478,0,0.00252247233569913
136479,0,0.0015526367135312194
136480,0,0.006154351383135387
136481,0,0.0028213989358198688
136482,0,0.029034412768579307
136483,0,0.0037362039508763386
136484,0,0.0013773562235415832
136485,0,0.0016526179389077455
136486,0,0.002427679619082056
136487,0,0.0017157363497094286
136488,0,0.00472961311765123
136489,0,0.0013156161921908708
136490,0,0.02417796169514342
136491,0,0.004398579382560915
136492,0,0.0038509891323501217
136493,0,0.0038771430783107546
136494,0,0.0013596180479753714
136495,0,0.0028126686928427597
136496,0,0.0050011204803335286
136497,0,0.0026955991330331218
136498,0,0.010022629236908524
136499,0,0.0016912233169975885
136500,0,0.0009453844181123659
136501,0,0.0016784154781637113
136502,0,0.006230303375340816
136503,0,0.0032399253665139197
136504,0,0.0014845563620778358
136505,0,0.0013837188780404055
136506,0,0.003028163286693976
